"","title","docid","categories","day_of_month","month","year","correction_data","locations","content"
"1","The Man on the Spot Over Rail Safety",5230,"|u.s.",20,1,1987,"19870120T000000","|BALTIMORE (MD)|MARYLAND"," 
 When Congress adjourned last fall, John H. Riley, head of the Federal Railroad Administration, started polishing up his resume and began looking forward to leaving Government early this year. 
 In three and a half years at the helm of the agency, Mr. Riley had negotiated the sale of two small railroad properties owned by the Government and had carried the flag for the Reagan Administration in its bitter battle with Congress over the sale of Conrail, the giant Philadelphia-based freight carrier. 
 Last year he helped block Congressional adoption of legislation that would have restored some regulation of rates and expanded layoff benefits for some rail workers. Before that, he helped draft a long-awaited Federal rule aimed at curbing alcohol and drug abuse in the rail industry. 
 So, with the widely heralded sale of the Government's stock in Conrail anticipated for this spring, the stage appeared set for Mr. Riley's smooth departure. 
 But then came the collision north of Baltimore Jan. 4 between an Amtrak passenger train and a unit of engines owned by Conrail. 
 Sixteen people among the hundreds of passengers were killed, and more than 170 were injured. And questions were raised about the safety of the rail system that Mr. Riley had been overseeing. Departure Is Delayed 
 As a result, Mr. Riley's departure is now delayed indefinitely, and it is likely to be far from smooth. Long-time critics of his safety enforcement efforts have seized upon the accident to spotlight what they consider the railroad agency's weak stand on safety. 
 ''In the normal routine of safety, Riley hasn't done a darn thing,'' said Lawrence M. Mann, a Washington lawyer who represents rail labor unions on safety issues before Congress and the agency, and who participated in the drafting of the Railroad Safety Act of 1970. 
 ''He doesn't act in a preventive way, but after the fact,'' Mr. Mann said. 
 Mr. Riley, a tall, thin, talkative man who turned 40 years old today, voices little fear of his critics. He says safety has been a priority and has not been neglected in his tenure. 
 ''I've been able to put together the three safest years in industry history,'' said the Bronx-born administrator, who came to the railroad agency from Capitol Hill after working as chief counsel to Senator Dave Durenberger, Republican of Minnesota. 
 ''I've been uncompromising on safety and will continue to be uncompromising,'' Mr. Riley said. ''The problem with making safety a priority is that the public glare never goes over the whole context, but on the last accident.'' 
 He contends that the recent collision was an exception to the trend in railroad safety. Statistics seem to support his argument, showing a surge in rail accidents in 1984, followed by a steady drop in 1985 and 1986. 
 Despite his defense, Mr. Riley is anticipating a ''bushel basket'' of proposals for improving safety in the Northeast Corridor between Washington and Boston. ''Within a few weeks, we'll have a tidal wave of ideas from everyone,'' he said. ''It will be our job to sort them out and determine what's feasible. We'll recommend the ideas that we think will make a difference in the end.'' 
 Immediately after the Amtrak-Conrail crash, he visited the site. Since then he has suggested reconsideration of several safety ideas discarded by prior rail chiefs, such as separating freight and passenger traffic in the Northeast Corridor. 
 Among the complaints likely to gain attention as Mr. Riley faces Congressional panels looking into the accident are those involving the lack of rules to assure worker and passenger safety and the Administration's attempts in recent years to eliminate Federal funds for railroad safety inspectors as part of Government cost cutting. 
 The effectiveness of the new alcohol and drug abuse rule has also been called into question, in light of findings of traces of marijuana in the urine and blood of the Conrail crew involved in the accident and findings that three of six crew members involved in a December train wreck in Philadelphia had tested positive for cocaine. 
 Lawmakers and other critics are also expected to question the effectiveness of a 1981 policy change regarding safety enforcement that has been embraced by Mr. Riley. As a result of that change, the railroad agency stopped imposing fines for safety violations and began stressing working with carriers on a ''cooperative'' basis to encourage compliance. 'Some Unjustifiable Things' 
 Representative James J. Florio, a New Jersey Democrat who has sponsored several pieces of rail safety legislation, agrees that something must be done. 
 But unlike many critics, he does not fault Mr. Riley entirely. Rather, he says Mr. Riley's bosses, including Transportation Secretary Elizabeth Hanford Dole and President Reagan, must share much of the blame because, he says, they are the ultimate formulators of Administration rail safety policy. 
 Mr. Florio said of Mr. Riley: ''He's someone who knows the subject matter and who, left to his own devices, would probably advocate policies different from those being pushed by the Administration. He's called upon to justify some unjustifiable things.''  WASHINGTON TALK: FEDERAL RAILROAD ADMINISTRATION"
"2","BEIRUT REFUGEES'S PLIGHT TERMED GRIM DESPITE ARRIVAL OF AID",13359,"|world",15,2,1987,"19870215T000000","|MIDDLE EAST|BURJ AL BRAJNEH (LEBANON)|BEIRUT (LEBANON)|LEBANON"," 
 Despite the arrival of some relief supplies in a besieged Palestinian refugee district here today, conditions in the district were described as desperate, with thousands of people suffering from malnutrition. 
 Four pickup trucks carrying food rolled into the refugee compound, Burj al Brajneh, on the southern outskirts of Beirut, during the early hours of the morning. It was not known when the next convoy of relief aid would be allowed in. 
 An earlier attempt to get the trucks into the district was thwarted by gunmen who fired at the convoy Friday, killing an Iranian Embassy official and wounding a colleague. The incident touched off a renewal of artillery exchanges between militiamen of the Shiite Moslem movement Amal, which has ringed the camp since October, and Palestinian guerrillas defending Burj al Brajneh, where about 30,000 people live. 
 The supplies that reached the camp included flour and dried milk. After the shooting Friday evening, the food was transferred from United Nations trucks to vehicles belonging to the Iranian Embassy, which has been supervising relief efforts, and was taken into the camp early this morning. An Appeal for More Aid Soon 
 Dr. Pauline Cutting, a British surgeon working inside Burj al Brajneh, told reporters by telephone that Iranian Embassy vehicles brought in a small quantity of supplies and took out four wounded people. 
 She said that only a small amount of flour reached the camp during the night, and that just about everyone in the camp was malnourished. She said she believed that unless more food reached Burj al Brajneh very soon, people would be starving to death within a week. 
 Dr. Cutting said the people at Burj al Brajneh were aware of efforts to bring relief supplies to them. When reports circulated Friday that a convoy was on the way, people came out in the streets in a state of expectation. But the camp was then shelled, she said, and 6 people died and 24 were wounded. 
 Amal, which is headed by Lebanon's Justice Minister, Nabih Berri, says the siege around Palestinian centers in Beirut and southern Lebanon will not be lifted until guerrillas who follow the Palestine Liberation Organization leader, Yasir Arafat, evacuate positions captured from the Shiite militia last November in southern Lebanon."
"3","JOHNSON'S 39 LEAD LAKERS PAST CELTICS",13911,"|sports",16,2,1987,"19870216T000000",NA," 
 Earvin (Magic) Johnson scored 39 points and led Los Angeles back from a 17-point third-quarter deficit to a 106-103 victory over the Boston Celtics, giving the Lakers the best record in the National Basketball Association. 
 Johnson scored 8 points over the final three and a half minutes, including two clinching free throws with four seconds to play, to lift the Lakers to their 38th victory in 50 games this season, one game better than the Celtics. 
 After the teams exchanged baskets, Johnson sank an 18-footer with 23 seconds to play to put the Lakers ahead, 102-99. 
 After Robert Parish scored on a dunk, Kareem Abdul-Jabbar made two free throws to put the Lakers up by 104-101 with 16 seconds to play. The free throws gave Abdul-Jabbar 10 points, keeping alive his streak of 743 consecutive games in double figures. CROWD MARK 
 PONTIAC, Mich., Feb. 15 (AP) -Buyers of $2 tickets furnished by an oil company accounted for nearly half of the record crowd for a regular-season National Basketball Association game, a Detroit Pistons spokesman said today. 
 Attendance for Saturday night's game at the Pontiac Silverdome, in which the Pistons defeated Philadelphia, 125-107, was 52,745, club spokesman Matt Dobek said. 
 The N.B.A.'s previous regular-season record was 44,180, set a year ago at a Silverdome game in which Detroit defeated Philadelphia, 134-133, in overtime. 
 Attendance at both of those games, including an estimated 25,000 tickets sold for Saturday's contest, was swollen by $2 tickets sold at Marathon Oil Company service stations, Dobek said. 
 N.B.A."
"4","Moore Sculpture Approved to Be Altar",14629,"|arts",19,2,1987,"19870219T000000","|LONDON (ENG)"," 
 An ecclesiastical court has ruled that a marble block sculptured by Henry Moore is a suitable church altar. 
 The Court of Ecclesiastical Causes Reserved of the Church of England said the modern sculpture could remain in use as the altar in the 17th-century St. Stephen Walbrook Church, a Sir Christopher Wren masterpiece in central London. 
 The ruling overturns a February 1986 decision by the chancellor of the London Diocesan Consistory Court, George Newsom. He said the eight-and-a-half-ton, flat-topped sculpture, which has no legs and sits on a circular base, could not be considered a holy table and should be removed from the church. 
 Under Anglican law, an altar must function as a table, in remembrance of Christ's Last Supper. 
 A property developer, Peter Palumbo, who is spending $2 million to renovate the church, and church officials appealed Chancellor Newsom's decision. The ecclesiastical court, consisting of two High Court judges, two bishops and a former bishop, ruled in their favor. 
 Mr. Palumbo, a patron of modern art, commissioned the sculpture in 1967. Moore, one of Britain's greatest sculptors, died last August at age 88."
"5","POSTINGS: Circa 1821; The Vinyl Goes",17645,"|real estate",1,3,1987,"19870301T000000","|WEST ORANGE (NJ)"," 
 The Condit House has a lot going for it. The three-story, Federal-style structure in West Orange, N.J., thought to be built in 1821, has four marble fireplaces, hand-carved woodwork, a fieldstone foundation and wavy window panes. ''But it has been bastardized,'' said Richard Polton, a developer specializing in historic restoration, referring to the white vinyl siding that now sheathes the original scallop-edged clapboards. 
 Mr. Polton, president of Touchstone Properties in Montclair, N.J., has a contract to buy the house, at 7 Main Street, for $350,000 from St. Mark's Episcopal Church next door, which has owned it since 1885. Upon taking title, Mr. Polton plans to restore and convert the 14-room property into 7,000 square feet of professional office space, to be leased for $12 a foot. 
 Touchstone Properties, together with Brawer & Hauptman Architects of Philadelphia, will restore the exterior to its original state, peeling off the vinyl and determining historic color schemes. The interior, whose first floor was recently refurbished by a local preservationist, Louise Dixon Schickhaus, will be done as well. The house was put on the National Register of Historic Places in 1977."
"6","CENERGY CORP reports earnings for Qtr to Dec 31",17974,"|business",2,3,1987,"19870302T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3*CENERGY CORP (NYSE) 
 Qtr to Dec 31 
 1986 
 1985 
 Revenue 
 7,700,000 
 - 
 Net inc 
 790,000 
 - 
 Share earns 
 .07 
 - 
 Yr rev 
 37,000,000 
 - 
 Net loss 
 6,600,000 
 - 
 The company said 1985 results are not comparable because it changed from a fiscal year ending March 31 to a calendar year. 
 *3*** COMPANY REPORTS ** 
 *3*CENERGY CORP (NYSE) 
 Qtr to Dec 31 
 1986 
 1985 
 Revenue 
 7,700,000 
 - 
 Net inc 
 790,000 
 - 
 Share earns 
 .07 
 - 
 Yr rev 
 37,000,000 
 - 
 Net loss 
 6,600,000 
 - 
 The company said 1985 results are not comparable because it changed from a fiscal year ending March 31 to a calendar year."
"7","THEATER: 'ON THE VERGE,' AT THE JOHN HOUSEMAN",18436,"|arts|theater",3,3,1987,"19870303T000000",NA," 
 AFTER an overland trek through America's regional theaters, Eric Overmyer's ''On the Verge or the Geography of Yearning'' has arrived in New York with its wit and imagination intact. The play opened last night at the John Houseman Theater in a production ingeniously outfitted by the director Garland Wright, and by members of the Acting Company. 
 During the play's visits to various other ports of call - I saw two different prior productions, at Center Stage in Baltimore and at the Hartford Stage Company - the author used his machete to thwack away at the thicket of puns and imagery. As a result, the play has become pithier, but more pruning would have been advisable; each of the two acts remains attenuated. 
 However, the surfeit does not deter us from appreciating the journey, as Mr. Overmyer sends three prototypical Victorian women explorers touring through time, space and metaphor. In common with S. J. Perelman and Tom Stoppard, the author has a connoisseur's love of language. In addition, he is enamored of his explorers, heroines who leave the comfort of cities like Terre Haute in order to sojourn to a Terra that becomes increasingly Incognita. 
 The show begins neatly enough as the three (Lisa Banes, Patricia Hodges and Laura Hicks) gird themselves for their expedition. They are equipped for all Arctic-tropic emergencies. Even as they are buffeted by surprises, they remain surefooted and quick-minded. These are, stalwartly, pre-feminist representatives of the stronger sex. 
 They tell us tall tales of past exploits - teaching headhunters to play croquet, watching the Dalai Lama transform gold coins into yak butter. To a great extent, the palaver is the action, although periodically the women wander astray and meet strangers, all species played by Tom Robbins. Gradually, one realizes that there is something sub-terra afoot, a dislocation with the dimension of a time warp. 
 The explorers receive psychic messages from the future. Strange words like ''Cool Whip'' enter their perception and unknown artifacts are discovered on the landscape. Confronted with an egg beater, they regard it quizzically and then conclude it must be a talisman. Merrily, the playwright forges ahead from fanciful reinterpretation of history to contemporary cultural commentary. 
 Like Mark Twain's Eve, the explorers see the world - and say the words - as if for the first time. Questioning such self-made contradictions as ''guest hosts,'' they begin to dabble in semiotics. At least in part, the play is about the debasement of language. As one of the women says, ''I have seen the future and it is slang.'' 
 Eventually the time travelers reach the 1950's. A palanquin pulls up at an Esso station and a Dragon Lady emerges, soon followed by other odd figures. Faced with the apotheosis of 1955, only one of the three heroines continues the chronokinetic excursion, marching onward to the future, which is, of course, our present. 
 Because of the vertiginous verbiage, the play is an Everest for actresses. Memorization itself is a tongue-tripping feat. The Acting Company trio performs with the agility of a team of high-wire walkers while also demonstrating an evident zest for the material. 
 During the play's two-year passage to New York, the author has sharpened the individuality of his characters. Ms. Banes is playing the most insurgent of the three - a born pioneer. Ms. Hodges, the most traditional, has a fondness for hearth and husband (he appears in a dream sequence). Ms. Hicks, a photojournalist in the making, is a montage of modernism. While the actresses seek singular definition, Mr. Robbins is a self-diffuser. Chameleon-like, he shifts from cannibal to Actors Studio-trained troll to an Adorable Snowman. 
 More than his directorial predecessors in Baltimore and Hartford, Mr. Wright has successfully moved the script away from literalization. This is the most intimate and also the most eye-catching of the three productions, and it is augmented by John Arnone's clean geometric set design. Mr. Arnone uses neon-like bars of light to denote everything from rope bridges to jungles, converting the stage into a Mondrian-like environment of perpendiculars. James F. Ingalls's lighting adds its own signal pleasure, with a shift of tone simulating both glacier and desert, and Ann Hould-Ward's costumes are like the best of Banana Republic. The staging and the performances reduce the play's whimsy quotient. 
 ''On the Verge'' is, by intention, a highly speculative and specialized venture, but for the linguistically inclined, this ardently alliterative and omnivorously onomatopoetic safari should be difficult to resist."
"8","ARGUING THE CASE FOR HAIR",21280,"|health|style",14,3,1987,"19870314T000000",NA," 
 On Monday the Upjohn Company is to give the Food and Drug Administration the results of its tests on Rogaine, a product the company wants to sell as a baldness remedy. But the application for approval by the F.D.A. has prompted sharp criticism from the Public Citizen Health Research Group, a consumer organization that has accused Upjohn of trying to ''make bald people feel insecure.'' 
 Upjohn has defended its activities concerning Rogaine, which originally was developed as minoxidil, a drug to treat high blood pressure. 
 Dr. Sidney M. Wolfe, head of the Health Research Group, said Upjohn had been preparing the way for the sale of Rogaine to the public by issuing press releases under the letterhead of an organization it formed, Hair Awareness Information and Research, or HAIR. 
 Dr. Wolfe read from one release, titled ''Psychological Aspects of Hair Loss,'' which said, ''Can an emerging bald spot, or even a noticeably receding hairline, damage your ability to get along with others, influence your chances of obtaining a job or even interfere with your job performance?'' 
 The release quoted H.Hugh Floyd Jr., a professor of sociology at the University of New Orleans, as saying, ''Losing one's hair can have tremendous psychological influence and definitely affects self-confidence and self-assurance.'' 
 Dr. Wolfe asserted that Upjohn was engaging in a ''sleazy, shameless prepromotional campaign to make bald people feel as bad as possible'' and to encourage them to use Rogaine, a liquid applied to the scalp, if it is approved for sale. 
 A spokeswoman for Upjohn, Jan R. AufderHeide, said there was nothing negative about the campaign. ''It was informational, not promotional,'' she said. ''This is a common practice to inform and educate the public.'' 
 Rogaine has generated more consumer interest, as measured by letters and telephone calls, than any other product in the 101-year history of Upjohn, she added. 
 Rogaine is safe and effective, Miss AufderHeide said. In a yearlong test of 1,833 bald men, she said, 40 percent reported moderate hair growth after using the product. Doctors examining the men reported that among 76 percent of them, one or more new hairs had grown in a one-inch circle at the crown of the head, Miss AufderHeide said. 
 The findings also will state, she said, that there was no significant difference in the blood pressure, pulse rate or weight of men using Rogaine and those who used a placebo. 
 It is not known how long it will take the Government to act on Upjohn's application. Just What's Beer?  What is beer? A Federal statute does not address what its alcohol content should be, and two Federal agencies have differed on whether a beverage without alcohol can rightly be called beer. 
 The Federal Trade Commission has recommended that the makers of malt beverages be permitted to call their products beer, ale, lager, stout or porter, even if all or most of the alcohol has been removed. But the Bureau of Alcohol, Tobacco and Firearms has proposed that the use of the word beer and related terms continue to be forbidden for beverages that have less than 0.5 percent alcohol. 
 ''The only purpose of this restriction,'' the F.T.C. asserted in its recommendation, ''appears to be to protect consumers from purchasing this product . . . on the mistaken belief that they are buying an alcoholic beverage.'' Rather than protecting drinkers of alcoholic beverages, the agency said, the restrictions ''are likely to harm consumers who are seeking healthier and safer substitutes by depriving them of valuable information concerning the alternative of nonalcoholic beer.'' 
 Under the bureau's proposed regulation, beerlike nonalcoholic drinks would have to be called malt beverages, cereal beverages or near beer. 
 The brewers of nonalcoholic beer, the F.T.C. staff said, are unlikely to try to sell their product as containing alcohol because such beverages are geared to consumers who want to reduce their consumption of alcohol. Their marketing, the staff said, emphasizes the absence of alcohol. 
 The importers of Moussy, which is brewed in Switzerland, are opposing the bureau's proposal, which would continue to require that Moussy, which has virtually no alcohol, be labeled a malt beverage. 
 ''We would like to call it nonalcoholic beer,'' said Myles J. Ambrose, a lawyer representing the importer. 
 Supporting the bureau is the Beer Institute, which represents breweries whose beverages have the normal alcohol content of 3 to 4 percent and those who make the newer low-alcohol beers with less than 2.5 percent. The institute wants those beverages to be the only ones entitled to be called beer; to do otherwise would confuse consumers, it said. 
 CONSUMER SATURDAY"
"9","ELECTROSOUND GROUP reports earnings for Qtr to Feb 28",24830,"|business",27,3,1987,"19870327T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3*ELECTROSOUND GROUP (AMEX) 
 Qtr to Feb 28 
 1987 
 1986 
 Revenue 
 6,244,000 
 8,148,000 
 Net loss 
 b28,000 
 c164,000 
 9mo rev 
 22,629,000 
 28,472,000 
 Net inc 
 b605,000 
 c576,000 
 Share earns 
 .33 
 .38 
 Shares outst 
 1,840,000 
 1,537,000 
 *3*** COMPANY REPORTS ** 
 *3*ELECTROSOUND GROUP (AMEX) 
 Qtr to Feb 28 
 1987 
 1986 
 Revenue 
 6,244,000 
 8,148,000 
 Net loss 
 b28,000 
 c164,000 
 9mo rev 
 22,629,000 
 28,472,000 
 Net inc 
 b605,000 
 c576,000 
 Share earns 
 .33 
 .38 
 Shares outst 
 1,840,000 
 1,537,000 
 b-Includes an extraordinary charge of $13,000 for the quarter and a tax credit of $258,000 for the 9 months. 
 c-Includes an extraordinary charge of $85,000 for the quarter and a tax credit of $235,000 for the 9 months."
"10","Potvin Returning",26165,"|sports",31,3,1987,"19870331T000000",NA," 
 The Islanders' playoff prospects are slightly brighter because of the return of Denis Potvin, the veteran defenseman who missed 17 games with a sprained left knee. Potvin, who needs 3 points to become the first defenseman to reach 1,000 career points, traveled with the team to St. Louis and will probably start against the Blues tonight. New York, with four games left, is trying to secure second place in the Patrick Division and gain the home-ice edge in the first round of the playoffs. 
 Gord Dineen and Greg Gilbert, who both had shoulder separations, also rejoined the team, and two rookies, Neal Coulter and Randy Wood, were returned to Springfield. Tomas Jonsson, who sustained multiple fractures of the jaw in a Jan. 22 automobile accident, may play in Thursday's game against the Nordiques. 
 SPORTS PEOPLE"
